14,15,15,20,20,20,20,20,20,20,20,20,20,13,11,11,10,10,9,7
15,15,15,20,20,20,20,20,20,20,20,20,20,13,11,10,10,10,8,6
15,15,15,20,20,20,20,20,20,20,20,20,20,12,11,10,10,9,8,6
16,15,16,20,20,20,20,20,20,20,20,20,20,11,10,10,10,9,8,5
16,16,20,20,20,20,20,20,20,20,20,20,20,10,10,9,9,9,7,5
17,16,20,20,20,20,20,20,20,20,20,20,20,10,9,9,9,8,7,4
18,17,20,20,20,20,20,20,20,20,20,20,10,9,8,8,8,8,6,3
19,18,20,20,20,20,20,20,20,20,20,20,9,8,8,8,8,7,6,2
19,18,20,20,20,20,20,20,20,20,20,20,7,7,7,7,7,6,5,2
19,20,20,20,20,20,20,20,20,20,20,9,6,6,6,6,6,6,5,2
19,20,20,20,20,20,20,20,20,19,17,6,4,5,5,5,5,5,4,2
19,20,20,20,20,20,20,20,19,18,12,2,3,4,4,4,4,3,3,2
19,20,20,20,20,20,20,19,18,15,8,1,1,2,3,3,2,2,2,2
19,20,20,20,20,20,20,19,17,14,1,1,1,1,1,1,1,1,1,2
20,20,20,20,20,20,19,18,16,12,1,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,19,17,15,10,1,1,1,1,1,1,1,1,1,1
