20,20,20,20,20,20,20,20,20,20,20,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,20,20,20,20,20,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,20,20,20,20,20,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,20,20,20,20,20,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,20,20,19,19,20,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,20,20,19,19,20,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,20,19,19,18,16,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,20,19,18,17,1,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,20,19,18,15,1,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,20,19,17,14,1,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,19,18,16,13,1,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,19,18,16,12,1,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,19,17,15,11,1,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,19,17,14,10,1,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,19,17,14,9,1,1,1,1,1,1,1,1,1,1
20,20,20,20,20,20,19,16,13,7,1,1,1,1,1,1,1,1,1,1
